Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS, thinness 5-9 years,Income composition of resources,Schooling,Population,GDP
Swaziland,Developing,58.4,382,2,0.01,574.3895102,98,0,31.8,3,98,9.25,98,7.3,4.3,0.541,11.4,1095000,44230000000
Turkey,Developing,75.5,17,16,1.45,181.9083783,96,565,65.3,19,96,5.41,96,0.1,4.7,0.759,14.5,77229262,9.39E+11
Antigua and Barbuda,Developing,76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,3.3,0.782,13.9,92562,1249733333
Bahamas,Developing,75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,2.5,0.789,12.6,370625,11180000000
Bahrain,Developing,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,6,0.82,14.5,1336073,33387712766
Barbados,Developing,75.4,1,0,8.82,294.9056584,94,0,53.7,0,95,7.47,94,0.1,3.7,0.793,15.3,284825,4696344342
Bolivia (Plurinational State of),Developing,74,189,8,3.62,0,98,0,51.9,10,99,6.33,98,0.1,1.1,0.666,13.8,10710000,33000000000
Brunei Darussalam,Developing,77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,5.2,0.863,15,409778,17098342541
C̫te d'Ivoire,Developing,52.8,47,58,0.01,0,76,50,27.4,80,76,5.72,76,2,5.6,,,22647672,48840000000
Congo,Developing,64.2,275,7,0.01,0,9,71,26.8,10,9,5.15,9,3,7.3,0.581,11.1,4737000,17910000000
Cuba,Developing,79,93,1,4.37,13.6691019,97,0,6.7,1,99,11.6,99,0.1,3.3,0.772,14,11306909,80656000000
Czechia,Developed,78.6,88,0,12.68,0,99,222,65.6,0,99,7.41,97,0.1,1.9,,,10525347,2.09E+11
Democratic People's Republic of Korea,Developing,73,142,6,0.01,0,93,3,32.4,8,99,,93,0.1,4.9,,,25060000,40000000000
Democratic Republic of the Congo,Developing,59.3,266,237,0.01,0,8,33711,21.1,312,79,4.33,8,1.1,9.5,,,4736965,35910000000
Egypt,Developing,78,161,53,0.21,0,94,1314,6.2,62,94,5.64,94,0.1,2.8,0.686,13.1,90424668,3.06E+11
Eritrea,Developing,64.4,261,5,0.01,0,94,127,18,8,94,3.34,94,0.4,8.3,0.416,5,5100000,4000000000
Gambia,Developing,68,266,3,0.01,0,96,1,26.7,5,97,7.34,96,1.7,7.3,0.449,8.9,2024037,1229000000
Grenada,Developing,73.5,143,0,8.42,789.2764615,97,0,47.4,0,81,6.1,97,0.1,3.8,0.749,15.8,108900,911497407.4
Iran (Islamic Republic of),Developing,75.4,83,19,0.01,0,99,99,58.5,22,99,6.89,99,0.1,8.4,0.77,14.9,77465769,4.60E+11
Kuwait,Developing,74.6,82,0,0.01,2480.896965,96,55,7.8,1,94,3.4,95,0.1,3.4,0.787,13,3690939,1.63E+11
Kyrgyzstan,Developing,78,17,3,0.01,0,96,318,43.9,4,95,6.48,96,0.1,3.4,0.656,12.8,5835500,7468096567
Lao People's Democratic Republic,Developing,65.3,199,8,0.01,0,88,339,2.9,11,88,1.87,88,0.2,9,0.573,10.6,6639763,13279248479
Libya,Developing,72.4,143,2,0.01,0,94,372,63.8,2,94,4.97,94,0.1,5.5,0.73,13.4,6362039,57372445772
Micronesia (Federated States of),Developing,69.4,164,0,1.58,0,81,140,68.7,0,76,13.71,77,0.1,0.2,0.639,11.7,107444,319271200
New Zealand,Developed,81.5,67,0,9.07,1040.278436,93,280,66.9,0,93,11.3,93,0.1,0.3,0.91,19.2,4516500,2.01E+11
Oman,Developing,76.4,11,1,0.4,166.1913728,99,0,53.5,1,99,3.55,99,0.1,6.9,0.796,13.7,4027255,92699089727
Qatar,Developing,78.1,69,0,1.15,5063.513104,89,46,68.4,0,99,2.19,89,0.1,4.8,0.854,13.4,2459202,2.06E+11
Republic of Korea,Developing,82,66,1,0.01,0,99,442,31.2,2,99,7.37,99,0.1,1,,,50750000,1.48E+12
Republic of Moldova,Developing,71.8,162,1,9.99,0,92,2,52.7,1,92,1.32,9,0.1,2.8,,,2856950,9510198962
Saint Lucia,Developing,75,139,0,9.97,0,99,0,46.7,0,99,6.72,99,0.1,4.3,0.723,13.1,178307,1755130815
Saint Vincent and the Grenadines,Developing,73.1,157,0,7.01,0,98,0,53.1,0,97,8.63,98,0.1,3.4,0.72,13.3,108868,770901436.4
Saudi Arabia,Developing,74.4,88,7,0.09,2017.643131,98,154,67.3,9,98,4.68,98,0.1,7.5,0.841,15.8,30916603,7.56E+11
Singapore,Developed,82.9,56,0,1.83,7971.646361,96,0,32.9,0,96,4.92,96,0.1,2.2,0.922,15.4,5469724,3.15E+11
Slovakia,Developed,76.4,113,0,10.6,0,97,0,58.4,0,97,8.5,97,0.1,1.2,0.841,15.1,5418649,1.01E+11
Somalia,Developing,54.3,321,51,0.01,0,42,10229,23.8,48,47,,42,0.8,6.5,,,13423571,5021956321
The former Yugoslav republic of Macedonia,Developing,75.5,12,0,1.13,0,97,116,59.7,0,96,6.48,95,0.1,2.2,0.743,12.9,2067471,11362272838
United Arab Emirates,Developing,76.9,77,1,1.91,3862.68271,99,344,62.4,1,99,3.64,99,0.1,5,0.832,13.3,9214182,4.03E+11
United Kingdom of Great Britain and Northern Ireland,Developed,81,71,3,10.37,0,99,133,66,4,95,18.48,95,0.1,0.5,,,64602298,3.09E+12
United Republic of Tanzania,Developing,67,34,86,0.01,0,97,88,23.2,121,97,5.58,97,1.4,6.6,,,49960563,49964788814
United States of America,Developed,79.1,14,23,8.82,0,92,667,69.1,27,93,17.14,95,0.1,0.6,,,318386329,1.76E+13
Venezuela (Bolivarian Republic of),Developing,73.9,158,9,6.47,0,78,0,61.5,10,79,5.26,78,0.1,1.5,0.771,14.2,30042973,4.82E+11
Viet Nam,Developing,75.9,128,28,4.09,0,95,15033,16.7,35,96,7.7,95,0.1,14.7,0.675,12.5,91713850,2.33E+11
Yemen,Developing,65.4,228,37,0.01,0,73,815,4.4,47,67,5.64,73,0.1,13.5,0.5,9,25823488,43228585321
Maldives,Developing,78.2,62,0,2.1,2051.748615,99,0,26.2,0,99,13.73,99,0.1,13.7,0.693,12.7,435018,3697351597
China,Developing,75.8,86,171,5.78,109.8743903,99,52628,31.9,198,99,5.55,99,0.1,3,0.723,13.1,1371860000,1.05E+13
Iraq,Developing,67.9,199,32,0.01,43.5240801,62,1317,58.5,39,67,5.54,64,0.1,5.1,0.658,10.1,34411949,2.28E+11
Sri Lanka,Developing,74.7,141,3,2.37,42.7308283,99,1686,22.7,3,99,3.5,99,0.1,15,0.76,14,20778000,79356449841
Japan,Developed,83.5,57,2,0.01,88.83362243,97,462,28.6,3,99,1.23,96,0.1,1.7,0.899,15.3,127276000,4.90E+12
Georgia,Developing,74.5,125,1,6.13,221.482875,91,3188,55.3,1,91,7.42,91,0.1,2.8,0.759,13.5,3719414,17627003455
Syrian Arab Republic,Developing,64.4,294,7,0.01,0,47,594,56.2,8,52,3.25,43,0.1,6.1,0.575,9,18710711,22075987602
Germany,Developed,81,69,2,11.03,941.7562909,88,443,61.9,3,94,19.16,95,0.1,1.1,0.92,17,80982500,3.89E+12
Philippines,Developing,68.4,214,54,6.7,31.27232188,80,58848,24.8,68,77,7.3,79,0.1,9.7,0.676,11.7,100513137,2.97E+11
Uzbekistan,Developing,69.2,184,16,0.01,0.442802404,99,8,43.9,18,99,5.84,99,0.1,3.1,0.69,12.1,30757700,80845384375
Portugal,Developed,89,78,0,9.88,271.2545531,98,0,6.9,0,98,9.5,98,0.1,0.5,0.837,16.8,10401062,2.30E+11
Afghanistan,Developing,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,17.5,0.476,10,33370804,20497126770
Kenya,Developing,62.9,255,56,0.01,170.9626624,92,354,21.3,79,93,5.72,92,2.9,7.7,0.546,11.1,46700063,68285768554
Jordan,Developing,74,113,4,0.41,63.8784522,98,20,64.8,4,98,7.45,98,0.1,3.9,0.737,13.1,8918822,36847643521
Israel,Developing,82.2,6,1,2.62,4348.33531,97,6,64.6,1,95,7.81,95,0.1,1.1,0.895,16,8215700,3.11E+11
Netherlands,Developed,81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,0.9,0.923,18.1,16865008,8.92E+11
Cambodia,Developing,68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,11,0.553,10.9,15274506,16702610842
Nigeria,Developing,53.6,362,490,0.01,263.2111031,49,6855,24.7,759,49,3.67,49,3.9,9.9,0.521,10,176404931,5.47E+11
Belgium,Developed,89,76,0,12.6,7163.348923,98,70,63.4,1,99,1.59,99,0.1,1,0.89,16.3,11209057,5.35E+11
Armenia,Developing,74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,2.1,0.739,12.7,2912403,11609512940
Bosnia and Herzegovina,Developing,77.2,89,0,4.03,732.8662491,89,3000,55.3,0,86,9.57,86,0.1,2.4,0.742,14.2,3482106,18560861398
Mexico,Developing,76.6,122,31,5.26,168.173753,84,3,62.8,36,87,6.3,87,0.1,1.5,0.754,13.1,120355137,1.32E+12
Guinea,Developing,58.1,299,27,0.01,50.57976483,51,175,22.7,41,42,5.64,51,0.5,7.4,0.412,8.6,11150970,8778473615
Malaysia,Developing,74.8,126,4,0.52,721.3655432,96,221,39.5,4,97,4.17,97,0.1,7.4,0.783,13,29866606,3.38E+11
Italy,Developed,82.5,57,2,7.56,4831.644796,95,0,63.1,2,95,9.25,95,0.1,0.6,0.877,16.3,60789140,2.16E+12
Mauritania,Developing,63,205,8,0.01,80.92679802,84,14,3.1,8,84,3.77,84,0.9,7.7,0.509,8.5,3930894,6592537782
Slovenia,Developed,87,76,0,10.46,31.13492794,7,52,59.5,0,95,9.23,95,0.1,1.4,0.888,17.6,2061980,49997186439
Dominican Republic,Developing,73.6,154,6,5.92,1088.244952,89,0,57.9,7,9,4.38,91,0.3,3.2,0.712,13.2,10165182,67179914027
Lebanon,Developing,74.8,99,1,1.32,140.3771361,81,112,65.4,1,75,6.39,81,0.1,4.9,0.763,13.3,6261046,48095213746
Solomon Islands,Developing,68.8,183,0,0.01,3.718438799,88,0,49.7,0,94,5.5,88,0.1,1.2,0.512,9.6,587079,1335584912
Cameroon,Developing,56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,5.7,0.507,10.4,22681853,36386546918
Vanuatu,Developing,71.7,134,0,0.01,564.8167043,64,10,52.5,0,65,5.2,64,0.1,1.4,0.596,10.8,263888,772315721.3
Honduras,Developing,74.5,149,3,2.87,345.3776344,97,0,5.2,4,97,8.72,97,0.3,2.1,0.618,11.4,8955579,19756494435
Jamaica,Developing,75.8,133,1,3.83,427.3054534,92,0,53.5,1,93,5.36,92,0.5,1.7,0.727,12.8,2875137,13899228824
Ecuador,Developing,76,121,6,3.82,79.11626341,83,0,53.5,7,84,9.16,83,0.1,1.1,0.737,14,15951832,1.02E+11
Angola,Developing,51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,8.3,0.527,11.4,26941773,1.37E+11
Nicaragua,Developing,74.5,148,2,3.55,473.1238124,98,0,53.2,3,99,9.4,98,0.1,1.7,0.636,11.6,6142734,11880434071
Australia,Developed,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,0.6,0.936,20.4,23475686,1.47E+12
Madagascar,Developing,65.1,225,29,0.01,5.339065673,73,3,2,39,73,3.4,73,0.3,7.1,0.509,10.3,23589897,12522957228
Montenegro,Developing,75.9,17,0,0.01,726.0291764,87,0,61.3,0,91,6.42,91,0.1,1.9,0.803,15.1,621810,4593852089
Sweden,Developed,82.3,54,0,7.3,1142.212403,67,26,59,0,98,11.93,98,0.1,1.3,0.906,15.8,9696110,5.82E+11
Albania,Developing,77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,1.3,0.761,14.2,2889104,13228147516
Azerbaijan,Developing,72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,2.9,0.752,12.2,9535079,75244294275
Cyprus,Developed,83,53,0,0.01,207.3041936,96,10,59.8,0,99,7.37,99,0.1,1,0.85,14,1152297,23156850007
Spain,Developed,82.6,58,1,0.01,42.98847625,96,154,66,1,97,9.3,97,0.1,0.5,0.877,17.6,46480882,1.37E+12
Samoa,Developing,73.8,128,0,0.01,660.2777923,56,0,74.3,0,58,7.22,63,0.1,0.1,0.701,12.9,192220,756805950.2
Serbia,Developing,75.4,123,1,9.09,8.617208431,92,37,59.4,1,93,1.37,93,0.1,2.1,0.771,14.3,7130576,47062206678
Poland,Developed,77.3,12,2,10.71,243.808475,96,0,61.1,2,94,6.35,98,0.1,2.1,0.85,16.4,38011735,5.42E+11
Morocco,Developing,74.1,96,18,0.43,198.7343495,99,10,57.5,21,99,5.91,99,0.1,6.2,0.64,12.1,34192358,1.10E+11
Romania,Developed,74.8,135,2,11.6,1.576409172,94,59,59.9,2,94,11.23,94,0.1,2.8,0.797,14.7,19908979,2.00E+11
Burundi,Developing,59.1,297,22,0.01,41.25159038,95,0,18.2,32,95,7.54,95,0.7,7.3,0.404,10.6,9844301,2705783272
Mauritius,Developing,74.2,148,0,3.9,115.2784282,97,0,32.8,0,98,10.53,97,0.1,6.9,0.769,14.7,1260934,12803445934
Tunisia,Developing,75.1,12,3,1.39,604.8701316,98,15,6.2,3,98,7,98,0.1,6.4,0.722,14.7,11063195,50271072628
Liberia,Developing,58.1,329,8,0.01,54.37396957,5,34,26.7,11,49,1.4,5,0.9,6.5,0.426,9.9,4359508,3225652000
Panama,Developing,77.6,119,1,6.74,1842.463782,8,0,57.1,1,8,8.3,8,0.1,1.8,0.78,13,3901311,49921464400
Zambia,Developing,61.1,314,28,0.01,196.6675768,86,9,22.8,41,78,4.99,86,4.3,6.2,0.57,12.5,15399793,27141023558
Fiji,Developing,69.7,19,0,0.01,50.539484,99,0,61.9,0,99,4.49,99,0.1,3.7,0.727,15.2,866447,4856963230
Bangladesh,Developing,71.4,132,98,0.01,10.44640334,97,289,17.7,121,97,2.82,97,0.1,18.6,0.57,10,154517385,1.73E+11
Namibia,Developing,65.9,242,2,0.01,751.3982719,88,477,34.9,3,88,8.93,88,2.2,8.5,0.632,11.7,2273426,12435416060
Kiribati,Developing,66.1,2,0,0.01,97.87193319,75,0,77.1,0,79,1.21,75,0.1,0.1,0.597,11.9,109387,177862310.4
Malawi,Developing,57.6,377,27,0.01,59.48744893,91,3,19.2,40,87,11.38,91,5.1,6.3,0.466,10.7,16289550,6047813437
South Sudan,Developing,56.6,343,26,0.01,46.0744686,2,441,34,39,44,2.74,39,3.5,,0.421,4.9,10554882,13962212847
Sierra Leone,Developing,48.1,463,23,0.01,1.443286353,83,1006,23.8,32,83,11.9,83,0.6,7.4,0.426,9.5,7017153,5015157816
Brazil,Developing,74.8,144,44,7.32,83.16465362,96,876,55.3,49,96,8.32,93,0.1,2.7,0.747,15.2,202763744,2.46E+12
Benin,Developing,59.7,252,25,0.01,90.12206791,78,786,25.2,39,74,4.59,78,1.1,6.9,0.475,10.7,10286839,13284528654
Peru,Developing,75.3,125,8,0.01,973.728675,88,0,54.9,10,78,5.47,88,0.1,1.1,0.735,13.4,30090372,2.01E+11
Haiti,Developing,63.1,245,14,0.01,5.103249438,48,0,48.8,19,55,7.56,48,0.5,3.9,0.487,9.1,10549007,15139264670
Tonga,Developing,73.3,135,0,0.01,565.9672173,8,0,74.8,0,82,5.18,8,0.1,0.1,0.716,14.3,101023,439878828
Greece,Developing,88,73,0,7.53,2163.043414,96,1,66,0,99,8.8,99,0.1,0.7,0.862,17.2,10892413,2.35E+11
Pakistan,Developing,66.2,162,359,0.01,62.29361092,72,1370,24.7,442,72,2.61,72,0.1,19.8,0.542,7.8,195305012,2.44E+11
Papua New Guinea,Developing,62.7,278,10,0.01,208.2311603,67,2299,47.9,13,64,4.26,73,0.7,1.3,0.511,10,7946733,23210682538
Sao Tome and Principe,Developing,67.3,191,0,0.01,225.7307751,95,0,3.1,0,95,8.35,95,0.2,5.4,0.562,11.1,195727,346528329.2
Malta,Developed,81.4,55,0,8.49,409.6000248,9,0,69.2,0,99,9.75,99,0.1,0.8,0.847,14.3,434558,11626281387
Suriname,Developing,71.4,178,0,6.32,1132.432517,85,0,57.7,0,85,5.69,85,0.4,3.5,0.722,12.7,553278,5240606061
Ghana,Developing,62.1,253,37,0.01,97.67794571,98,124,28,54,93,3.56,98,0.8,6.3,0.576,11.7,27224480,54782847753
Ireland,Developed,81.2,66,0,10.75,746.3670453,95,33,62.1,0,96,7.78,96,0.1,0.2,0.91,18.6,4657740,2.59E+11
Chile,Developing,83,83,2,7.16,2352.999591,95,0,63.1,2,95,7.79,95,0.1,0.8,0.841,16.2,17758969,2.59E+11
Costa Rica,Developing,79.5,96,1,3.45,384.5129138,91,1,59.5,1,91,9.31,91,0.1,1.7,0.768,13.9,4795390,52016408951
Ethiopia,Developing,64.2,234,140,2.2,89.95805845,61,12739,17.2,149,75,4.88,61,0.6,1.3,0.435,8.4,98094264,55612228234
South Africa,Developing,62,347,42,7.38,922.0507313,8,66,5.3,52,77,8.8,77,3.7,5.9,0.66,13,54544184,3.81E+11
Paraguay,Developing,73.9,147,3,0.01,561.7684701,87,0,49.4,3,83,9.81,87,0.2,1.9,0.688,12.3,6599524,40377987209
Chad,Developing,52.6,362,46,0.01,11.3020668,37,1275,18.7,78,44,3.62,37,2.9,8.5,0.39,7.3,13663562,13940768066
Myanmar,Developing,66.4,21,40,0.01,45.33788677,88,122,22.9,52,88,2.28,88,0.3,13.1,0.547,9.1,52280816,63264892768
Sudan,Developing,63.8,229,59,0.01,253.6086508,94,676,34,86,94,8.43,94,0.3,,0.485,7.2,37977657,76818327442
Trinidad and Tobago,Developing,71.1,171,0,6.94,1578.872339,92,0,46,0,94,5.93,92,0.3,6,0.778,12.7,1362337,27642525749
Mongolia,Developing,68.4,225,1,0.01,281.0023992,99,0,51.5,1,99,4.73,99,0.1,2.3,0.729,14.8,2940111,12226514722
Niger,Developing,61.4,223,49,0.01,3.304039899,68,1142,18.9,88,67,5.82,68,0.5,9.6,0.345,5.3,19240182,10862944204
Belize,Developing,70,177,0,6.58,670.0920883,95,0,5.1,0,95,5.79,95,0.2,3.4,0.705,12.8,353366,1676406802
Gabon,Developing,65.5,237,2,0.01,715.2816939,7,33,35.8,3,68,3.44,7,2.8,6,0.687,12.6,1883801,18203968002
El Salvador,Developing,73.3,181,2,2.52,665.7260253,93,0,55.4,2,93,6.77,94,0.2,1.6,0.676,13.2,6295124,22593470000
India,Developing,68,184,957,3.07,86.52153895,79,79563,18.1,1200,84,4.69,85,0.2,27.4,0.607,11.6,1295600768,2.04E+12
Austria,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,2,0.892,15.9,8546356,4.43E+11
Thailand,Developing,74.6,152,8,6.41,789.0772949,99,0,32.4,10,99,4.12,99,0.1,7.8,0.737,13.6,68438748,4.07E+11
Turkmenistan,Developing,66,217,7,2.9,691.1333535,97,0,47.7,8,98,2.7,98,0.1,3.3,0.683,10.8,5466324,43524210526
Comoros,Developing,63.2,23,1,0.01,73.86584922,88,0,23.7,2,87,6.75,87,0.8,6.6,0.497,11.1,759390,1149587652
Ukraine,Developing,78,23,4,8.06,5.663849328,22,0,6.7,5,45,7.1,23,0.2,2.4,0.746,15.2,45272155,1.34E+11
Burkina Faso,Developing,59.3,268,39,0.01,8.386339501,91,343,18.8,63,91,4.96,91,0.6,7.7,0.398,7.7,17586029,13943016924
Russian Federation,Developing,73,225,13,10.12,1340.553699,97,4711,59.9,15,97,7.7,97,0.1,2.3,0.803,14.9,143819667,2.06E+12
Seychelles,Developing,73,17,0,0.01,151.1045552,99,0,36.2,0,99,3.37,99,0.1,6,0.766,13.2,91359,1387577763
Iceland,Developed,82.5,49,0,7.45,8254.020763,78,0,6.6,0,9,8.86,9,0.1,0.9,0.915,19,327386,17867662178
Luxembourg,Developed,81.7,65,0,11.12,16255.16198,94,0,6.9,0,99,6.94,99,0.1,0.9,0.892,13.9,556319,68804811898
Estonia,Developing,77.3,122,0,0.01,2700.07305,93,0,59.4,0,93,6.38,93,0.1,1.9,0.86,16.5,1314545,26634083965
Latvia,Developed,74.4,156,0,0.01,1542.635979,92,36,6.7,0,92,5.88,92,0.1,2.2,0.822,16,1993782,31386896487
Lithuania,Developed,73.4,169,0,15.19,2211.744178,94,11,61.9,0,93,6.55,93,0.1,2.7,0.841,16.5,2932367,48533659592
Croatia,Developed,77.8,97,0,12.14,1884.098811,95,0,63.1,0,95,7.8,95,0.1,1.5,0.82,15.1,4238389,58330289757
Norway,Developed,81.6,61,0,6.06,177.6382878,89,3,6.8,0,93,9.72,93,0.1,0.7,0.945,17.7,5137232,4.98E+11
Finland,Developing,89,78,0,8.8,6164.455402,86,0,61.7,0,98,9.68,98,0.1,0.8,0.89,17,5461512,2.75E+11
Denmark,Developed,84,73,0,9.64,10468.76292,84,27,58.4,0,94,1.8,94,0.1,0.9,0.926,19.2,5643475,3.53E+11
Bulgaria,Developed,74.3,138,1,12.03,153.1400362,95,0,65.1,1,88,8.44,88,0.1,1.9,0.787,14.8,7223938,57082011260
Switzerland,Developed,83.2,51,0,9.61,19479.91161,94,23,57,0,96,11.66,96,0.1,0.3,0.936,15.9,8188649,7.34E+11
Hungary,Developed,75.6,137,0,11.6,160.9449342,65,0,64.2,0,99,7.4,99,0.1,1.6,0.834,15.8,9866468,1.41E+11
Indonesia,Developing,68.9,179,119,0.09,200.0684443,78,12943,26.5,142,8,2.85,78,0.3,1.2,0.682,12.9,255128076,8.91E+11
Guyana,Developing,66,217,0,7.64,4.141293345,98,0,45.9,1,97,5.25,98,0.3,5.3,0.636,10.3,763371,4127659492
Kazakhstan,Developing,69.9,22,5,6.29,24.44473709,95,321,52.3,5,95,4.36,95,0.1,2.5,0.789,15,17288285,2.21E+11
France,Developing,82.2,79,3,11.5,6739.677606,83,267,62,3,98,11.54,98,0.1,0.6,0.89,16.2,66312067,2.86E+12
Mali,Developing,57.8,272,52,0.01,46.56231672,73,290,23.2,85,74,6.86,73,1.6,7.7,0.43,8.2,16934213,14364937128
Belarus,Developing,72,199,0,13.94,1147.1114,97,64,61.7,0,97,5.69,97,0.1,2,0.796,15.7,9448515,78813839984
Canada,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,0.5,0.912,15.9,35437435,1.81E+12
Algeria,Developing,75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,5.8,0.741,14.4,38923688,2.14E+11
Uruguay,Developing,76.8,117,0,6.03,463.6397821,95,0,63.4,0,95,8.58,95,0.1,1.4,0.791,15.5,3400439,57236013086
Equatorial Guinea,Developing,57.9,32,3,0.01,13.40477417,2,13,24,4,24,3.8,2,4.4,8.4,0.582,9.2,1122273,21765454404
Argentina,Developing,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,0.9,0.825,17.3,42669500,5.26E+11
Central African Republic,Developing,58,437,15,0.01,53.43964323,47,210,22.1,22,47,4.2,47,4.5,8.3,0.345,7.1,4464171,1894813505
Togo,Developing,59.7,285,13,2.4,4.877350139,87,577,23.7,13,85,5.25,87,1,6.4,0.475,12,7137997,4574986537
Tajikistan,Developing,69.6,162,10,3.1,7.829008596,97,0,39.9,11,94,6.88,97,0.2,3.7,0.622,11.3,8252828,9112544556
Djibouti,Developing,63,252,1,0.38,24.73299655,78,0,34.4,1,78,1.57,78,2.1,5.4,0.467,6.3,898707,2214679081
Cabo Verde,Developing,73,117,0,0.01,414.0242418,97,0,3.5,0,95,4.76,95,0.2,6.7,0.643,13.5,518276,1859898513
Colombia,Developing,74.6,144,11,4.38,1435.487755,9,0,57.2,12,9,7.2,9,0.1,1.9,0.72,13.6,46967706,3.81E+11
Guinea-Bissau,Developing,58.4,282,4,0.01,50.06053544,87,1,25.6,6,87,5.59,87,3.4,7.1,0.419,9.2,1692433,1054915645
Rwanda,Developing,65.7,23,12,0.01,7.549797238,98,10,2.8,16,98,7.53,98,0.4,5.8,0.488,10.8,11083629,8234762201
Senegal,Developing,66.4,192,19,0.26,12.80528533,89,32,23.8,27,85,4.66,89,0.3,9.5,0.483,9.1,14174740,19797254643
Timor-Leste,Developing,68,155,2,0.01,28.14578503,77,47,17,2,76,1.48,77,0.1,11.1,0.612,12.5,1174333,1447307100
Mozambique,Developing,56.7,375,61,0.01,54.91159475,79,9,22.2,84,79,6.98,79,4.1,3.5,0.409,9.1,26286192,17716091057
Botswana,Developing,65.1,268,2,0.01,662.802194,95,1,37.3,2,96,5.41,95,2.3,6.4,0.697,12.6,2088619,15654660710
Guatemala,Developing,71.7,187,10,1.88,657.5282797,73,0,49.9,13,65,6.2,73,0.4,1.2,0.614,10.7,15306316,57852399964
Lesotho,Developing,52.1,522,4,0.01,162.1278115,93,0,32,6,9,1.62,93,9.4,5.6,0.491,10.8,2043448,2441053176
Uganda,Developing,61.5,38,68,0.01,14.16770158,78,314,18.1,97,82,7.22,78,3.2,5.6,0.483,10,36911530,32612397758
Nepal,Developing,69.6,158,18,0.01,8.523486403,92,1279,18.5,22,92,5.8,92,0.1,16.3,0.551,12.4,26905982,22731602970
Bhutan,Developing,69.4,216,0,0.01,209.3921344,99,0,23.6,1,98,3.57,99,0.5,16.2,0.596,12.5,719053,1907090813
Zimbabwe,Developing,59.2,371,23,6.5,10.82259524,91,0,31.3,34,92,6.44,91,6.3,5.7,0.498,10.3,13586710,19495519600
